DATE,TB1YR
2009-07-01,0.46
2009-08-01,0.44
2009-09-01,0.38
2009-10-01,0.35
2009-11-01,0.29
2009-12-01,0.35
2010-01-01,0.32
2010-02-01,0.33
2010-03-01,0.37
2010-04-01,0.42
2010-05-01,0.35
2010-06-01,0.30
2010-07-01,0.28
2010-08-01,0.25
2010-09-01,0.25
2010-10-01,0.22
2010-11-01,0.24
2010-12-01,0.28
2011-01-01,0.26
2011-02-01,0.27
2011-03-01,0.24
2011-04-01,0.23
2011-05-01,0.17
2011-06-01,0.17
2011-07-01,0.18
2011-08-01,0.11
2011-09-01,0.10
2011-10-01,0.11
2011-11-01,0.11
2011-12-01,0.11
2012-01-01,0.11
2012-02-01,0.15
2012-03-01,0.18
2012-04-01,0.18
2012-05-01,0.19
2012-06-01,0.18
2012-07-01,0.18
2012-08-01,0.18
2012-09-01,0.17
2012-10-01,0.17
2012-11-01,0.17
2012-12-01,0.15
2013-01-01,0.14
2013-02-01,0.15
2013-03-01,0.14
2013-04-01,0.12
2013-05-01,0.11
2013-06-01,0.14
2013-07-01,0.12
2013-08-01,0.12
2013-09-01,0.11
2013-10-01,0.11
2013-11-01,0.12
2013-12-01,0.13
2014-01-01,0.11
2014-02-01,0.11
2014-03-01,0.12
2014-04-01,0.10
2014-05-01,0.09
2014-06-01,0.10
2014-07-01,0.10
2014-08-01,0.10
2014-09-01,0.10
2014-10-01,0.10
2014-11-01,0.12
2014-12-01,0.20
2015-01-01,0.18
2015-02-01,0.21
2015-03-01,0.24
2015-04-01,0.22
2015-05-01,0.22
2015-06-01,0.26
2015-07-01,0.28
2015-08-01,0.36
2015-09-01,0.35
2015-10-01,0.25
2015-11-01,0.45
2015-12-01,0.63
2016-01-01,0.52
2016-02-01,0.52
2016-03-01,0.64
2016-04-01,0.54
2016-05-01,0.57
2016-06-01,0.54
2016-07-01,0.50
2016-08-01,0.55
2016-09-01,0.58
2016-10-01,0.64
2016-11-01,0.71
2016-12-01,0.84
2017-01-01,0.80
2017-02-01,0.79
2017-03-01,0.98
2017-04-01,1.01
2017-05-01,1.09
2017-06-01,1.17
2017-07-01,1.19
2017-08-01,1.20
2017-09-01,1.25
2017-10-01,1.36
2017-11-01,1.51
2017-12-01,1.65
2018-01-01,1.75
2018-02-01,1.90
2018-03-01,2.00
2018-04-01,2.08
2018-05-01,2.20
2018-06-01,2.25
2018-07-01,2.31
2018-08-01,2.36
2018-09-01,2.47
2018-10-01,2.56
2018-11-01,2.60
2018-12-01,2.57
2019-01-01,2.50
2019-02-01,2.47
2019-03-01,2.41
2019-04-01,2.34
2019-05-01,2.27
2019-06-01,1.94
2019-07-01,1.91
2019-08-01,1.73
2019-09-01,1.75
2019-10-01,1.57
2019-11-01,1.53
2019-12-01,1.51
2020-01-01,1.49
2020-02-01,1.37
2020-03-01,0.32
2020-04-01,0.18
2020-05-01,0.16
2020-06-01,0.18
2020-07-01,0.15
2020-08-01,0.13
2020-09-01,0.13
2020-10-01,0.13
2020-11-01,0.12
2020-12-01,0.10
2021-01-01,0.10
2021-02-01,0.07
2021-03-01,0.07
2021-04-01,0.06
2021-05-01,0.05
2021-06-01,0.07
2021-07-01,0.07
2021-08-01,0.07
2021-09-01,0.07
2021-10-01,0.10
2021-11-01,0.17
2021-12-01,0.28
2022-01-01,0.53
2022-02-01,0.97
2022-03-01,1.28
2022-04-01,1.81
2022-05-01,1.97
2022-06-01,2.55
2022-07-01,2.91
2022-08-01,3.16
2022-09-01,3.73
2022-10-01,4.23
2022-11-01,4.51
2022-12-01,4.47
2023-01-01,4.49
2023-02-01,4.70
2023-03-01,4.47
2023-04-01,4.48
2023-05-01,4.69
2023-06-01,4.98
2023-07-01,5.10
2023-08-01,5.09
2023-09-01,5.15
2023-10-01,5.15
2023-11-01,5.01
2023-12-01,4.72
2024-01-01,4.57
2024-02-01,4.69
2024-03-01,4.76
